WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,AantalInwoners_5,Bevolkingsdichtheid_33,GemiddeldeHuishoudensgrootte_32,GemiddeldInkomenPerInwoner_66,HuishoudensMetKinderen_31,HuishoudensTotaal_28,HuishOnderOfRondSociaalMinimum_73,MateVanStedelijkheid_104,k_0Tot15Jaar_8,k_25Tot45Jaar_10,k_65JaarOfOuder_12,cluster_id,cluster_label_short,cluster_label_long
BU01970302,Aalten                                  ,Buurt     ,BU01970302,2435,1508.0,2.4,20.3,390,1015,3.4,4.0,465,620,400,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU01970303,Aalten                                  ,Buurt     ,BU01970303,1555,2408.0,2.7,22.2,285,550,2.4,4.0,280,295,150,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970304,Aalten                                  ,Buurt     ,BU01970304,2675,3014.0,2.2,23.1,370,1195,3.0,4.0,430,555,720,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU01970305,Aalten                                  ,Buurt     ,BU01970305,775,1851.0,3.0,25.3,155,255,1.2,5.0,230,245,40,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970306,Aalten                                  ,Buurt     ,BU01970306,1045,3362.0,2.4,20.1,170,435,3.7,3.0,180,255,180,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU01970307,Aalten                                  ,Buurt     ,BU01970307,2225,3207.0,1.9,24.3,230,1110,8.4,3.0,220,420,750,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU01970400,Aalten                                  ,Buurt     ,BU01970400,2765,3184.0,2.1,20.5,365,1300,7.2,4.0,375,585,800,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU01970401,Aalten                                  ,Buurt     ,BU01970401,1810,2984.0,2.3,23.1,265,775,3.8,4.0,245,340,415,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU01970402,Aalten                                  ,Buurt     ,BU01970402,2415,1920.0,2.4,21.9,390,1000,3.9,4.0,435,515,405,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU01970403,Aalten                                  ,Buurt     ,BU01970403,315,1399.0,2.5,23.7,50,125,0.8,5.0,50,60,45,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU01970409,Aalten                                  ,Buurt     ,BU01970409,640,71.0,2.5,23.1,100,250,5.2,5.0,105,110,130,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00590000,Achtkarspelen                           ,Buurt     ,BU00590000,5085,2045.0,2.3,21.4,765,2180,7.3,4.0,910,1110,1150,6,Gestapelde Buurten,"Cluster van buurten met gemiddelde inwoners, huishoudens en inkomensstatistieken in Nederland."
BU00590001,Achtkarspelen                           ,Buurt     ,BU00590001,1005,540.0,2.4,19.5,165,415,6.6,5.0,180,230,165,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00590002,Achtkarspelen                           ,Buurt     ,BU00590002,2150,1715.0,2.4,17.6,345,880,6.9,5.0,420,525,345,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00590003,Achtkarspelen                           ,Buurt     ,BU00590003,1555,1237.0,2.5,17.1,275,630,8.3,5.0,290,375,210,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00590004,Achtkarspelen                           ,Buurt     ,BU00590004,730,1178.0,2.4,19.6,120,305,7.9,5.0,140,190,110,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00590005,Achtkarspelen                           ,Buurt     ,BU00590005,675,42.0,2.7,23.0,115,250,6.8,5.0,145,160,100,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU00590007,Achtkarspelen                           ,Buurt     ,BU00590007,350,58.0,2.8,22.1,60,125,3.3,5.0,75,70,45,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU00590102,Achtkarspelen                           ,Buurt     ,BU00590102,1515,1235.0,2.4,19.3,235,625,5.4,5.0,290,365,265,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00590103,Achtkarspelen                           ,Buurt     ,BU00590103,1060,1053.0,2.5,20.5,190,430,5.2,5.0,205,270,115,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00590200,Achtkarspelen                           ,Buurt     ,BU00590200,5555,1762.0,2.2,19.9,815,2455,7.5,4.0,910,1235,1315,6,Gestapelde Buurten,"Cluster van buurten met gemiddelde inwoners, huishoudens en inkomensstatistieken in Nederland."
BU00590201,Achtkarspelen                           ,Buurt     ,BU00590201,4010,1615.0,2.4,18.1,675,1655,7.0,5.0,780,975,705,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU00590202,Achtkarspelen                           ,Buurt     ,BU00590202,910,936.0,2.5,19.6,155,355,5.9,5.0,165,205,130,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00590203,Achtkarspelen                           ,Buurt     ,BU00590203,710,1072.0,2.3,19.5,125,305,6.0,5.0,140,195,100,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU00590206,Achtkarspelen                           ,Buurt     ,BU00590206,370,84.0,2.7,21.8,70,135,1.5,5.0,70,70,60,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU00590207,Achtkarspelen                           ,Buurt     ,BU00590207,280,71.0,2.7,21.9,50,105,1.9,5.0,45,50,45,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU00590208,Achtkarspelen                           ,Buurt     ,BU00590208,390,28.0,2.6,23.4,70,150,3.4,5.0,80,80,70,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU00590209,Achtkarspelen                           ,Buurt     ,BU00590209,425,67.0,2.4,22.4,70,175,5.7,5.0,55,75,95,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU04820101,Alblasserdam                            ,Buurt     ,BU04820101,875,4124.0,2.4,28.3,125,370,4.3,2.0,145,135,275,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820102,Alblasserdam                            ,Buurt     ,BU04820102,675,6931.0,1.8,20.5,85,365,8.4,2.0,105,115,245,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820103,Alblasserdam                            ,Buurt     ,BU04820103,1615,7170.0,2.6,22.8,280,620,3.6,2.0,390,455,205,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820104,Alblasserdam                            ,Buurt     ,BU04820104,540,3727.0,2.8,26.4,105,195,1.1,3.0,115,130,65,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU04820105,Alblasserdam                            ,Buurt     ,BU04820105,1055,4576.0,2.4,27.4,145,435,2.8,2.0,220,245,275,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820201,Alblasserdam                            ,Buurt     ,BU04820201,580,1921.0,2.5,28.7,85,230,3.5,4.0,90,125,115,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU04820202,Alblasserdam                            ,Buurt     ,BU04820202,1260,8282.0,2.2,23.9,205,560,7.0,4.0,240,370,200,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820203,Alblasserdam                            ,Buurt     ,BU04820203,465,5245.0,2.8,25.3,85,160,5.5,3.0,75,80,65,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU04820205,Alblasserdam                            ,Buurt     ,BU04820205,950,8174.0,2.3,20.7,160,405,9.2,4.0,190,245,185,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820206,Alblasserdam                            ,Buurt     ,BU04820206,610,6753.0,3.0,21.7,120,195,7.7,4.0,200,205,25,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU04820301,Alblasserdam                            ,Buurt     ,BU04820301,1000,7778.0,2.8,27.7,185,360,3.4,2.0,200,210,120,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820302,Alblasserdam                            ,Buurt     ,BU04820302,595,6997.0,2.8,32.7,110,215,1.4,2.0,105,100,65,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820303,Alblasserdam                            ,Buurt     ,BU04820303,995,9760.0,2.5,24.8,170,390,3.4,2.0,185,205,135,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820304,Alblasserdam                            ,Buurt     ,BU04820304,680,6619.0,2.6,25.9,110,265,2.3,2.0,130,175,115,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820305,Alblasserdam                            ,Buurt     ,BU04820305,930,8152.0,2.4,20.1,140,385,5.7,2.0,190,200,230,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820306,Alblasserdam                            ,Buurt     ,BU04820306,1595,9155.0,2.5,20.0,275,645,5.5,2.0,320,415,285,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820307,Alblasserdam                            ,Buurt     ,BU04820307,1715,10622.0,2.3,19.6,300,750,10.2,2.0,380,545,215,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU04820401,Alblasserdam                            ,Buurt     ,BU04820401,1270,7471.0,2.4,22.8,180,535,3.0,2.0,195,225,420,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820402,Alblasserdam                            ,Buurt     ,BU04820402,1630,8544.0,2.6,21.6,270,610,7.6,2.0,350,345,320,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU04820404,Alblasserdam                            ,Buurt     ,BU04820404,515,9107.0,1.9,19.3,55,220,2.3,2.0,50,70,290,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU06130101,Albrandswaard                           ,Buurt     ,BU06130101,2410,2770.0,2.6,34.6,465,920,2.1,4.0,430,530,205,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU06130205,Albrandswaard                           ,Buurt     ,BU06130205,1855,1754.0,2.2,33.1,300,840,5.5,4.0,260,400,300,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU06130308,Albrandswaard                           ,Buurt     ,BU06130308,960,3727.0,2.2,25.0,175,435,8.2,3.0,165,230,205,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU06130309,Albrandswaard                           ,Buurt     ,BU06130309,1935,5649.0,2.6,30.5,360,740,2.7,3.0,315,335,310,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU06130310,Albrandswaard                           ,Buurt     ,BU06130310,930,4164.0,2.0,28.5,110,435,4.9,3.0,85,110,380,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU06130311,Albrandswaard                           ,Buurt     ,BU06130311,2430,7497.0,2.5,30.4,460,960,3.0,4.0,415,520,325,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU06130414,Albrandswaard                           ,Buurt     ,BU06130414,1410,4299.0,2.1,34.0,195,675,1.7,3.0,175,285,405,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU06130415,Albrandswaard                           ,Buurt     ,BU06130415,1270,4240.0,2.3,32.3,210,540,3.7,4.0,220,230,370,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU06130417,Albrandswaard                           ,Buurt     ,BU06130417,905,3727.0,1.9,26.6,120,445,7.3,3.0,115,145,340,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
BU06130418,Albrandswaard                           ,Buurt     ,BU06130418,945,2644.0,2.3,31.8,175,410,4.2,4.0,245,370,80,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU06130419,Albrandswaard                           ,Buurt     ,BU06130419,1155,4676.0,2.1,27.8,170,545,3.9,4.0,180,270,285,2,Gemiddelde Wijk Kenmerken,Analyse van gemiddelde demografische en sociaaleconomische kenmerken van Nederlandse buurten
BU06130623,Albrandswaard                           ,Buurt     ,BU06130623,2215,8172.0,3.0,26.5,495,745,5.8,4.0,745,825,70,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU06130624,Albrandswaard                           ,Buurt     ,BU06130624,1670,8251.0,2.9,30.0,340,570,2.2,4.0,435,465,145,7,Zeer Stedelijke Buurten,"Buurten met hoge bevolkingsdichtheid en gemiddelde inkomens, met veel huishoudens en kinderen."
BU06130626,Albrandswaard                           ,Buurt     ,BU06130626,3390,10203.0,2.6,31.2,620,1330,4.6,3.0,740,800,465,0,Gemiddelde Buurtkenmerken,Analyse van gemiddelde demografische en economische kenmerken van Nederlandse buurten.
BU03610100,Alkmaar                                 ,Buurt     ,BU03610100,2040,6304.0,2.2,19.5,305,850,14.5,2.0,335,445,560,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU03610101,Alkmaar                                 ,Buurt     ,BU03610101,1310,8141.0,1.9,23.9,165,655,11.0,1.0,195,330,395,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU03610102,Alkmaar                                 ,Buurt     ,BU03610102,2130,10317.0,1.9,25.1,325,1100,9.8,1.0,315,545,395,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU03610103,Alkmaar                                 ,Buurt     ,BU03610103,830,10122.0,1.6,20.7,115,520,14.1,1.0,100,225,200,1,Stedelijke wijk met gezinnen,"Een gemiddelde stedelijke wijk met gezinnen, hoge bevolkingsdichtheid en diverse leeftijden."
BU03610104,Alkmaar                                 ,Buurt     ,BU03610104,1535,8971.0,2.0,32.1,185,655,4.9,1.0,205,290,495,4,Stedelijke Buurten,Gemiddelde cijfers voor buurten met hoge bevolkingsdichtheid en diverse leeftijdsgroepen.
